order_id,order_date,promised_delivery_date,order_status,warehouse_name,customer_segment,product_name,order_value_eur,backlog_age_days,is_sla_breach,risk_priority
ORD-029615,2025-09-02,2025-09-06,Processing,Spree Fulfilment Centre,Consumer,Water Bottle 20,37.54,364,t,Critical
ORD-029191,2025-09-02,2025-09-06,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Protective Sleeve 04,67.90,364,t,Critical
ORD-026282,2025-09-02,2025-09-06,Processing,Saxony Distribution Hub,Consumer,Yoga Mat 01,276.24,364,t,Critical
ORD-003216,2025-09-02,2025-09-06,Processing,Main Central Hub,Consumer,Kitchen Scale 14,152.64,364,t,Critical
ORD-014730,2025-09-02,2025-09-07,Processing,Main Central Hub,Consumer,Fitness Tracker Band 05,140.65,364,t,Critical
ORD-026544,2025-09-02,2025-09-05,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Laptop Stand 05,54.90,364,t,Critical
ORD-000522,2025-09-02,2025-09-06,Processing,Spree Fulfilment Centre,Small Business,Charging Pouch 15,68.45,364,t,Critical
ORD-023581,2025-09-03,2025-09-06,On Hold,Spree Fulfilment Centre,Small Business,Laptop Stand 05,73.27,363,t,Critical
ORD-015509,2025-09-04,2025-09-08,Processing,Isar South Centre,Consumer,Desk Lamp 03,211.36,362,t,Critical
ORD-003618,2025-09-04,2025-09-07,Processing,Main Central Hub,Small Business,Coffee Press 02,171.81,362,t,Critical
ORD-023263,2025-09-05,2025-09-11,On Hold,Elbe North Hub,Consumer,Wireless Mouse 06,81.48,361,t,Critical
ORD-017726,2025-09-05,2025-09-09,On Hold,Main Central Hub,Small Business,Water Bottle 20,213.23,361,t,Critical
ORD-008505,2025-09-05,2025-09-10,Processing,Saxony Distribution Hub,Consumer,Wireless Mouse 01,117.14,361,t,Critical
ORD-029749,2025-09-08,2025-09-13,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Wireless Mouse 06,80.98,358,t,Critical
ORD-027639,2025-09-08,2025-09-12,Processing,Spree Fulfilment Centre,Consumer,Laptop Stand 05,18.20,358,t,Critical
ORD-005674,2025-09-08,2025-09-13,Processing,Elbe North Hub,Consumer,Hiking Bottle 08,256.89,358,t,Critical
ORD-007718,2025-09-10,2025-09-14,Processing,Main Central Hub,Consumer,Water Bottle 20,37.53,356,t,Critical
ORD-025884,2025-09-10,2025-09-14,Processing,Isar South Centre,Consumer,Storage Set 11,138.24,356,t,Critical
ORD-005427,2025-09-11,2025-09-14,On Hold,Saxony Distribution Hub,Mid-Market,Coffee Press 17,136.19,355,t,Critical
ORD-026446,2025-09-13,2025-09-16,Processing,Main Central Hub,Small Business,Laptop Stand 05,36.33,353,t,Critical
ORD-010408,2025-09-14,2025-09-19,Processing,Main Central Hub,Consumer,Desk Organiser 02,15.43,352,t,Critical
ORD-001182,2025-09-15,2025-09-19,Processing,Main Central Hub,Consumer,Kitchen Scale 09,34.77,351,t,Critical
ORD-016030,2025-09-15,2025-09-17,Processing,Elbe North Hub,Small Business,Grooming Kit 12,48.75,351,t,Critical
ORD-014370,2025-09-16,2025-09-19,On Hold,Saxony Distribution Hub,Consumer,Electric Toothbrush 01,33.43,350,t,Critical
ORD-001852,2025-09-17,2025-09-20,Processing,Isar South Centre,Consumer,Wireless Mouse 11,62.46,349,t,Critical
ORD-022383,2025-09-18,2025-09-22,Processing,Main Central Hub,Mid-Market,Skin Care Set 08,140.58,348,t,Critical
ORD-024195,2025-09-20,2025-09-24,Processing,Spree Fulfilment Centre,Consumer,Resistance Bands 07,98.83,346,t,Critical
ORD-023266,2025-09-21,2025-09-24,On Hold,Saxony Distribution Hub,Consumer,Coffee Press 02,42.62,345,t,Critical
ORD-029353,2025-09-22,2025-09-25,On Hold,Spree Fulfilment Centre,Consumer,Storage Set 01,87.69,344,t,Critical
ORD-014788,2025-09-22,2025-09-24,Processing,Spree Fulfilment Centre,Consumer,Mechanical Keyboard 05,86.82,344,t,Critical
ORD-019576,2025-09-22,2025-09-27,On Hold,Elbe North Hub,Consumer,Yoga Mat 01,55.33,344,t,Critical
ORD-029968,2025-09-23,2025-09-26,On Hold,Isar South Centre,Small Business,Phone Stand 06,51.82,343,t,Critical
ORD-021011,2025-09-23,2025-09-27,On Hold,Main Central Hub,Small Business,Desk Organiser 02,30.48,343,t,Critical
ORD-022542,2025-09-23,2025-09-29,On Hold,Elbe North Hub,Mid-Market,Storage Set 11,334.84,343,t,Critical
ORD-011095,2025-09-23,2025-09-26,Processing,Elbe North Hub,Small Business,Massage Roller 05,34.30,343,t,Critical
ORD-016422,2025-09-26,2025-09-30,On Hold,Rhine-Ruhr Fulfilment Centre,Small Business,Training Bag 19,278.47,340,t,Critical
ORD-000517,2025-09-27,2025-10-02,Processing,Elbe North Hub,Consumer,Webcam 04,157.52,339,t,Critical
ORD-004995,2025-09-28,2025-10-03,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Printer Paper 18,14.82,338,t,Critical
ORD-012840,2025-10-02,2025-10-05,Processing,Elbe North Hub,Consumer,Protective Sleeve 19,36.87,334,t,Critical
ORD-017998,2025-10-06,2025-10-11,On Hold,Saxony Distribution Hub,Small Business,Kitchen Scale 09,96.46,330,t,Critical
ORD-011423,2025-10-06,2025-10-10,Processing,Main Central Hub,Consumer,Mechanical Keyboard 15,197.08,330,t,Critical
ORD-028725,2025-10-06,2025-10-09,On Hold,Main Central Hub,Consumer,Grooming Kit 07,43.18,330,t,Critical
ORD-025697,2025-10-07,2025-10-10,On Hold,Elbe North Hub,Consumer,Massage Roller 20,10.71,329,t,Critical
ORD-008922,2025-10-07,2025-10-12,Processing,Isar South Centre,Consumer,Printer Paper 08,10.88,329,t,Critical
ORD-001542,2025-10-08,2025-10-11,Processing,Spree Fulfilment Centre,Consumer,Storage Set 01,43.39,328,t,Critical
ORD-010491,2025-10-09,2025-10-12,Processing,Isar South Centre,Small Business,Electric Toothbrush 11,21.59,327,t,Critical
ORD-014100,2025-10-10,2025-10-13,On Hold,Saxony Distribution Hub,Small Business,Travel Adapter 13,41.90,326,t,Critical
ORD-023646,2025-10-10,2025-10-15,Processing,Elbe North Hub,Consumer,Wireless Mouse 06,320.87,326,t,Critical
ORD-022009,2025-10-10,2025-10-13,On Hold,Isar South Centre,Consumer,Travel Adapter 18,20.30,326,t,Critical
ORD-021161,2025-10-13,2025-10-17,Processing,Spree Fulfilment Centre,Small Business,Coffee Press 02,42.51,323,t,Critical
ORD-025501,2025-10-15,2025-10-17,Processing,Main Central Hub,Mid-Market,Desk Organiser 12,26.23,321,t,Critical
ORD-012347,2025-10-16,2025-10-22,Processing,Spree Fulfilment Centre,Consumer,Kitchen Scale 04,98.03,320,t,Critical
ORD-020766,2025-10-17,2025-10-20,Processing,Isar South Centre,Consumer,Desk Organiser 02,7.79,319,t,Critical
ORD-006598,2025-10-17,2025-10-21,On Hold,Rhine-Ruhr Fulfilment Centre,Small Business,Kitchen Scale 04,189.42,319,t,Critical
ORD-021722,2025-10-20,2025-10-25,On Hold,Elbe North Hub,Small Business,Yoga Mat 11,89.79,316,t,Critical
ORD-015814,2025-10-21,2025-10-25,On Hold,Rhine-Ruhr Fulfilment Centre,Consumer,Massage Roller 15,115.61,315,t,Critical
ORD-007314,2025-10-26,2025-10-29,Processing,Main Central Hub,Consumer,Hiking Bottle 03,32.30,310,t,Critical
ORD-011155,2025-10-26,2025-10-29,Processing,Isar South Centre,Consumer,Notebook Set 01,13.92,310,t,Critical
ORD-021034,2025-10-29,2025-11-01,Processing,Saxony Distribution Hub,Mid-Market,Marker Set 09,55.50,307,t,Critical
ORD-002290,2025-10-30,2025-11-02,Processing,Saxony Distribution Hub,Consumer,Desk Lamp 13,32.71,306,t,Critical
ORD-013273,2025-10-31,2025-11-04,Processing,Main Central Hub,Consumer,Protective Sleeve 19,113.71,305,t,Critical
ORD-023739,2025-11-01,2025-11-04,On Hold,Saxony Distribution Hub,Consumer,Kitchen Scale 14,302.86,304,t,Critical
ORD-018920,2025-11-02,2025-11-06,Processing,Isar South Centre,Mid-Market,Printer Paper 13,94.17,303,t,Critical
ORD-017262,2025-11-02,2025-11-05,On Hold,Main Central Hub,Consumer,Phone Stand 01,13.54,303,t,Critical
ORD-000859,2025-11-03,2025-11-07,Processing,Main Central Hub,Consumer,Kitchen Scale 04,46.76,302,t,Critical
ORD-016644,2025-11-03,2025-11-06,On Hold,Spree Fulfilment Centre,Consumer,Storage Set 16,161.43,302,t,Critical
ORD-027554,2025-11-04,2025-11-06,Processing,Main Central Hub,Consumer,Hair Dryer 04,9.61,301,t,Critical
ORD-006893,2025-11-05,2025-11-08,Processing,Rhine-Ruhr Fulfilment Centre,Consumer,Webcam 09,148.24,300,t,Critical
ORD-009365,2025-11-06,2025-11-09,Processing,Elbe North Hub,Small Business,Grooming Kit 17,66.50,299,t,Critical
ORD-004090,2025-11-06,2025-11-10,On Hold,Spree Fulfilment Centre,Consumer,Webcam 04,158.65,299,t,Critical
ORD-023129,2025-11-06,2025-11-10,Processing,Elbe North Hub,Consumer,USB-C Hub 02,218.00,299,t,Critical
ORD-013243,2025-11-07,2025-11-10,Processing,Isar South Centre,Consumer,Resistance Bands 07,285.60,298,t,Critical
