order_month,total_orders,non_cancelled_orders,ordered_units,revenue_eur,average_order_value_eur
2025-09-01,2183,2128,5026,238701.78,112.17
2025-10-01,2389,2315,5528,261672.89,113.03
2025-11-01,3039,2959,6817,330937.52,111.84
2025-12-01,3884,3789,8777,419051.84,110.60
2026-01-01,2075,2024,4575,216647.93,107.04
2026-02-01,1993,1948,4466,212238.21,108.95
2026-03-01,2314,2254,5265,242727.41,107.69
2026-04-01,2404,2345,5553,266187.23,113.51
2026-05-01,2523,2466,5689,268026.72,108.69
2026-06-01,2411,2333,5714,269088.44,115.34
2026-07-01,2242,2191,5149,238774.69,108.98
2026-08-01,2416,2344,5264,257230.49,109.74
