product_id,product_name,product_category,valid_snapshot_days,stockout_snapshots,stockout_rate_pct,below_reorder_snapshots,shipped_units,average_closing_stock
PRD-0029,Kitchen Scale 09,Home & Kitchen,2190,52,2.37,127,553,18.82
PRD-0041,Electric Toothbrush 01,Personal Care,2190,48,2.19,201,1132,27.23
PRD-0003,Bluetooth Speaker 03,Electronics,2190,26,1.19,130,752,22.95
PRD-0008,Bluetooth Speaker 08,Electronics,2190,25,1.14,99,367,15.69
PRD-0083,Printer Paper 03,Office Supplies,2189,23,1.05,90,675,25.78
PRD-0001,Wireless Mouse 01,Electronics,2190,22,1.00,131,1131,33.11
PRD-0084,Marker Set 04,Office Supplies,2189,21,0.96,117,723,24.70
PRD-0115,Charging Pouch 15,Accessories,2189,20,0.91,99,540,19.91
PRD-0004,Webcam 04,Electronics,2190,19,0.87,147,799,21.52
PRD-0120,Charging Pouch 20,Accessories,2189,19,0.87,107,443,17.06
PRD-0117,Cable Set 17,Accessories,2188,18,0.82,80,605,22.23
PRD-0048,Skin Care Set 08,Personal Care,2190,18,0.82,104,513,19.23
PRD-0053,Skin Care Set 13,Personal Care,2189,18,0.82,99,497,19.47
PRD-0033,Desk Lamp 13,Home & Kitchen,2190,18,0.82,81,483,18.20
PRD-0101,Phone Stand 01,Accessories,2189,17,0.78,129,1293,30.99
PRD-0100,Laptop Stand 20,Office Supplies,2188,17,0.78,87,476,18.54
PRD-0066,Yoga Mat 06,Sports & Outdoors,2190,16,0.73,81,739,25.77
PRD-0089,Marker Set 09,Office Supplies,2189,16,0.73,81,403,22.31
PRD-0032,Coffee Press 12,Home & Kitchen,2190,16,0.73,77,397,19.79
PRD-0068,Hiking Bottle 08,Sports & Outdoors,2188,15,0.69,126,551,20.02
PRD-0010,Mechanical Keyboard 10,Electronics,2188,15,0.69,51,342,19.92
PRD-0059,Hair Dryer 19,Personal Care,2189,14,0.64,115,600,21.42
PRD-0025,Water Bottle 05,Home & Kitchen,2190,13,0.59,124,745,23.72
PRD-0078,Hiking Bottle 18,Sports & Outdoors,2190,13,0.59,103,481,19.25
PRD-0071,Yoga Mat 11,Sports & Outdoors,2190,13,0.59,97,469,19.15
PRD-0031,Storage Set 11,Home & Kitchen,2189,13,0.59,99,428,17.16
PRD-0020,Mechanical Keyboard 20,Electronics,2189,12,0.55,81,458,18.38
PRD-0015,Mechanical Keyboard 15,Electronics,2189,11,0.50,137,518,18.13
PRD-0011,Wireless Mouse 11,Electronics,2190,11,0.50,79,401,16.52
PRD-0036,Storage Set 16,Home & Kitchen,2189,11,0.50,82,391,18.97
PRD-0057,Grooming Kit 17,Personal Care,2189,11,0.50,49,305,16.41
PRD-0006,Wireless Mouse 06,Electronics,2190,10,0.46,105,735,25.90
PRD-0092,Desk Organiser 12,Office Supplies,2189,10,0.46,101,503,23.50
PRD-0099,Marker Set 19,Office Supplies,2190,10,0.46,81,493,19.74
