customer_id,customer_name,customer_segment,city,country,signup_date
CUST-00001,Synthetic Customer 00001,Consumer,Hamburg,DE,2024-01-21
CUST-00002,Synthetic Customer 00002,Consumer,Stuttgart,DE,2025-03-26
CUST-00003,Synthetic Customer 00003,Consumer,Amsterdam,NL,2023-12-31
CUST-00004,Synthetic Customer 00004,Enterprise,Vienna,AT,2025-02-04
CUST-00005,Synthetic Customer 00005,Consumer,Hamburg,DE,2021-12-19
CUST-00006,Synthetic Customer 00006,Consumer,Vienna,AT,2022-04-17
CUST-00007,Synthetic Customer 00007,Consumer,Düsseldorf,DE,2022-02-20
CUST-00008,Synthetic Customer 00008,Small Business,Stuttgart,DE,2022-04-11
CUST-00009,Synthetic Customer 00009,Small Business,Stuttgart,DE,2022-11-09
CUST-00010,Synthetic Customer 00010,Mid-Market,Düsseldorf,DE,2024-06-17
CUST-00011,Synthetic Customer 00011,Consumer,Hamburg,DE,2024-09-03
CUST-00012,Synthetic Customer 00012,Consumer,Cologne,DE,2023-05-08
CUST-00013,Synthetic Customer 00013,Small Business,Berlin,DE,2023-05-09
CUST-00014,Synthetic Customer 00014,Consumer,Amsterdam,NL,2025-02-08
CUST-00015,Synthetic Customer 00015,Consumer,Berlin,DE,2025-06-03
CUST-00016,Synthetic Customer 00016,Consumer,Berlin,DE,2021-09-25
CUST-00017,Synthetic Customer 00017,Consumer,Düsseldorf,DE,2023-10-13
CUST-00018,Synthetic Customer 00018,Small Business,Hamburg,DE,2023-11-17
CUST-00019,Synthetic Customer 00019,Consumer,Cologne,DE,2025-05-07
CUST-00020,Synthetic Customer 00020,Consumer,Stuttgart,DE,2022-10-31
CUST-00021,Synthetic Customer 00021,Consumer,Warsaw,PL,2024-04-10
CUST-00022,Synthetic Customer 00022,Consumer,Berlin,DE,2024-09-02
CUST-00023,Synthetic Customer 00023,Small Business,Cologne,DE,2023-12-30
CUST-00024,Synthetic Customer 00024,Consumer,Brussels,BE,2023-11-28
CUST-00025,Synthetic Customer 00025,Consumer,Berlin,DE,2023-11-26
CUST-00026,Synthetic Customer 00026,Small Business,Berlin,DE,2023-09-17
CUST-00027,Synthetic Customer 00027,Consumer,Berlin,DE,2025-06-09
CUST-00028,Synthetic Customer 00028,Enterprise,Frankfurt,DE,2024-12-07
CUST-00029,Synthetic Customer 00029,Consumer,Berlin,DE,2024-08-21
CUST-00030,Synthetic Customer 00030,Small Business,Stuttgart,DE,2022-04-25
CUST-00031,Synthetic Customer 00031,Small Business,Frankfurt,DE,2022-07-27
CUST-00032,Synthetic Customer 00032,Consumer,Stuttgart,DE,2024-03-04
CUST-00033,Synthetic Customer 00033,Consumer,Berlin,DE,2022-10-17
CUST-00034,Synthetic Customer 00034,Consumer,Stuttgart,DE,2025-07-25
CUST-00035,Synthetic Customer 00035,Small Business,Berlin,DE,2024-03-09
CUST-00036,Synthetic Customer 00036,Consumer,Hamburg,DE,2021-11-14
CUST-00037,Synthetic Customer 00037,Consumer,Düsseldorf,DE,2022-03-23
CUST-00038,Synthetic Customer 00038,Small Business,Cologne,DE,2024-03-07
CUST-00039,Synthetic Customer 00039,Consumer,Berlin,DE,2023-02-01
CUST-00040,Synthetic Customer 00040,Consumer,Stuttgart,DE,2023-10-03
CUST-00041,Synthetic Customer 00041,Consumer,Frankfurt,DE,2024-09-09
CUST-00042,Synthetic Customer 00042,Mid-Market,Leipzig,DE,2025-05-08
CUST-00043,Synthetic Customer 00043,Consumer,Stuttgart,DE,2025-05-18
CUST-00044,Synthetic Customer 00044,Consumer,Vienna,AT,2024-11-18
CUST-00045,Synthetic Customer 00045,Consumer,Frankfurt,DE,2023-07-24
CUST-00046,Synthetic Customer 00046,Consumer,Warsaw,PL,2024-04-27
CUST-00047,Synthetic Customer 00047,Consumer,Cologne,DE,2025-06-15
CUST-00048,Synthetic Customer 00048,Consumer,Berlin,DE,2025-03-03
CUST-00049,Synthetic Customer 00049,Consumer,Paris,FR,2021-11-22
CUST-00050,Synthetic Customer 00050,Consumer,Frankfurt,DE,2025-01-09
CUST-00051,Synthetic Customer 00051,Small Business,Stuttgart,DE,2024-06-27
CUST-00052,Synthetic Customer 00052,Consumer,Munich,DE,2024-11-19
CUST-00053,Synthetic Customer 00053,Consumer,Berlin,DE,2023-09-17
CUST-00054,Synthetic Customer 00054,Consumer,Cologne,DE,2022-10-28
CUST-00055,Synthetic Customer 00055,Consumer,Cologne,DE,2024-11-29
