inventory_date,warehouse_id,product_id,opening_stock,received_quantity,shipped_quantity,closing_stock,reorder_level
2025-09-01,WH-001,PRD-0001,33,0,0,33,16
2025-09-01,WH-001,PRD-0002,25,0,3,22,14
2025-09-01,WH-001,PRD-0003,17,0,0,17,9
2025-09-01,WH-001,PRD-0004,20,0,0,20,9
2025-09-01,WH-001,PRD-0005,24,0,0,24,12
2025-09-01,WH-001,PRD-0006,27,0,0,27,12
2025-09-01,WH-001,PRD-0007,12,0,0,12,7
2025-09-01,WH-001,PRD-0008,13,0,0,13,7
2025-09-01,WH-001,PRD-0009,18,0,0,18,8
2025-09-01,WH-001,PRD-0010,16,0,0,16,7
2025-09-01,WH-001,PRD-0011,14,0,0,14,7
2025-09-01,WH-001,PRD-0012,14,0,0,14,9
2025-09-01,WH-001,PRD-0013,15,0,0,15,8
2025-09-01,WH-001,PRD-0014,16,0,0,16,8
2025-09-01,WH-001,PRD-0015,17,0,0,17,9
2025-09-01,WH-001,PRD-0016,13,0,0,13,8
2025-09-01,WH-001,PRD-0017,10,0,0,10,7
2025-09-01,WH-001,PRD-0018,15,0,0,15,8
2025-09-01,WH-001,PRD-0019,14,0,0,14,8
2025-09-01,WH-001,PRD-0020,17,0,0,17,8
2025-09-01,WH-001,PRD-0021,31,0,1,30,14
2025-09-01,WH-001,PRD-0022,25,0,0,25,15
2025-09-01,WH-001,PRD-0023,13,0,0,13,9
2025-09-01,WH-001,PRD-0024,15,0,0,15,9
2025-09-01,WH-001,PRD-0025,15,0,4,11,9
2025-09-01,WH-001,PRD-0026,21,0,0,21,10
2025-09-01,WH-001,PRD-0027,18,0,0,18,8
2025-09-01,WH-001,PRD-0028,13,0,0,13,7
2025-09-01,WH-001,PRD-0029,11,0,0,11,8
2025-09-01,WH-001,PRD-0030,19,0,0,19,9
2025-09-01,WH-001,PRD-0031,14,0,0,14,8
2025-09-01,WH-001,PRD-0032,15,0,0,15,7
2025-09-01,WH-001,PRD-0033,18,0,0,18,9
2025-09-01,WH-001,PRD-0034,11,0,0,11,7
2025-09-01,WH-001,PRD-0035,17,0,1,16,9
2025-09-01,WH-001,PRD-0036,16,0,0,16,7
2025-09-01,WH-001,PRD-0037,16,0,1,15,7
2025-09-01,WH-001,PRD-0038,14,0,0,14,7
2025-09-01,WH-001,PRD-0039,14,0,0,14,8
2025-09-01,WH-001,PRD-0040,16,0,1,15,8
2025-09-01,WH-001,PRD-0041,20,0,0,20,11
2025-09-01,WH-001,PRD-0042,34,0,4,30,15
2025-09-01,WH-001,PRD-0043,17,15,0,32,11
2025-09-01,WH-001,PRD-0044,17,0,0,17,10
2025-09-01,WH-001,PRD-0045,19,0,0,19,12
2025-09-01,WH-001,PRD-0046,15,0,0,15,9
2025-09-01,WH-001,PRD-0047,15,0,0,15,7
2025-09-01,WH-001,PRD-0048,12,0,0,12,8
2025-09-01,WH-001,PRD-0049,18,0,0,18,8
2025-09-01,WH-001,PRD-0050,18,0,0,18,8
2025-09-01,WH-001,PRD-0051,18,0,0,18,8
2025-09-01,WH-001,PRD-0052,13,0,0,13,8
2025-09-01,WH-001,PRD-0053,16,0,0,16,8
2025-09-01,WH-001,PRD-0054,15,0,0,15,7
2025-09-01,WH-001,PRD-0055,14,0,0,14,8
2025-09-01,WH-001,PRD-0056,18,0,0,18,9
2025-09-01,WH-001,PRD-0057,13,0,0,13,7
2025-09-01,WH-001,PRD-0058,15,0,0,15,8
2025-09-01,WH-001,PRD-0059,17,0,0,17,8
2025-09-01,WH-001,PRD-0060,15,0,0,15,8
2025-09-01,WH-001,PRD-0061,20,0,0,20,12
2025-09-01,WH-001,PRD-0062,20,0,0,20,14
2025-09-01,WH-001,PRD-0063,18,0,0,18,11
2025-09-01,WH-001,PRD-0064,20,0,0,20,11
2025-09-01,WH-001,PRD-0065,22,0,0,22,11
2025-09-01,WH-001,PRD-0066,19,0,0,19,9
2025-09-01,WH-001,PRD-0067,14,0,0,14,8
2025-09-01,WH-001,PRD-0068,18,0,0,18,9
2025-09-01,WH-001,PRD-0069,14,0,0,14,7
2025-09-01,WH-001,PRD-0070,12,0,0,12,7
2025-09-01,WH-001,PRD-0071,13,0,0,13,8
2025-09-01,WH-001,PRD-0072,20,0,0,20,9
2025-09-01,WH-001,PRD-0073,17,0,8,9,8
2025-09-01,WH-001,PRD-0074,10,0,0,10,7
2025-09-01,WH-001,PRD-0075,13,0,0,13,8
2025-09-01,WH-001,PRD-0076,14,0,3,11,9
2025-09-01,WH-001,PRD-0077,11,0,0,11,7
2025-09-01,WH-001,PRD-0078,11,0,0,11,8
2025-09-01,WH-001,PRD-0079,13,0,0,13,7
2025-09-01,WH-001,PRD-0080,13,0,0,13,7
2025-09-01,WH-001,PRD-0081,26,0,0,26,14
2025-09-01,WH-001,PRD-0082,25,0,0,25,13
2025-09-01,WH-001,PRD-0083,21,0,0,21,11
2025-09-01,WH-001,PRD-0084,14,0,0,14,9
2025-09-01,WH-001,PRD-0085,22,0,1,21,10
2025-09-01,WH-001,PRD-0086,24,0,0,24,12
2025-09-01,WH-001,PRD-0087,22,0,0,22,10
2025-09-01,WH-001,PRD-0088,17,0,0,17,9
2025-09-01,WH-001,PRD-0089,14,0,0,14,9
2025-09-01,WH-001,PRD-0090,13,0,0,13,7
2025-09-01,WH-001,PRD-0091,12,0,0,12,8
2025-09-01,WH-001,PRD-0092,18,0,0,18,9
2025-09-01,WH-001,PRD-0093,14,0,0,14,8
2025-09-01,WH-001,PRD-0094,12,0,0,12,7
2025-09-01,WH-001,PRD-0095,17,0,0,17,8
2025-09-01,WH-001,PRD-0096,17,0,0,17,8
2025-09-01,WH-001,PRD-0097,17,0,0,17,8
2025-09-01,WH-001,PRD-0098,20,0,0,20,9
2025-09-01,WH-001,PRD-0099,15,0,0,15,8
2025-09-01,WH-001,PRD-0100,19,0,1,18,9
2025-09-01,WH-001,PRD-0101,33,0,0,33,15
2025-09-01,WH-001,PRD-0102,18,0,1,17,12
2025-09-01,WH-001,PRD-0103,24,0,0,24,11
2025-09-01,WH-001,PRD-0104,22,0,1,21,12
2025-09-01,WH-001,PRD-0105,15,0,0,15,9
2025-09-01,WH-001,PRD-0106,14,0,1,13,10
2025-09-01,WH-001,PRD-0107,15,0,0,15,7
2025-09-01,WH-001,PRD-0108,13,0,0,13,9
2025-09-01,WH-001,PRD-0109,13,0,0,13,8
2025-09-01,WH-001,PRD-0110,17,0,0,17,8
2025-09-01,WH-001,PRD-0111,15,0,0,15,8
2025-09-01,WH-001,PRD-0112,12,0,0,12,7
2025-09-01,WH-001,PRD-0113,13,0,0,13,8
2025-09-01,WH-001,PRD-0114,12,0,0,12,8
2025-09-01,WH-001,PRD-0115,16,0,0,16,8
2025-09-01,WH-001,PRD-0116,13,0,0,13,8
2025-09-01,WH-001,PRD-0117,18,0,0,18,9
2025-09-01,WH-001,PRD-0118,19,0,0,19,9
2025-09-01,WH-001,PRD-0119,16,0,0,16,8
2025-09-01,WH-001,PRD-0120,13,0,0,13,9
2025-09-01,WH-002,PRD-0001,30,0,1,29,14
2025-09-01,WH-002,PRD-0002,20,0,0,20,11
2025-09-01,WH-002,PRD-0003,21,0,0,21,9
2025-09-01,WH-002,PRD-0004,15,0,0,15,9
2025-09-01,WH-002,PRD-0005,16,0,0,16,10
2025-09-01,WH-002,PRD-0006,26,0,1,25,12
2025-09-01,WH-002,PRD-0007,14,0,0,14,7
2025-09-01,WH-002,PRD-0008,15,0,0,15,7
2025-09-01,WH-002,PRD-0009,18,0,0,18,8
2025-09-01,WH-002,PRD-0010,15,0,0,15,7
2025-09-01,WH-002,PRD-0011,10,0,0,10,7
2025-09-01,WH-002,PRD-0012,20,0,6,14,9
2025-09-01,WH-002,PRD-0013,15,0,0,15,7
2025-09-01,WH-002,PRD-0014,17,0,0,17,8
2025-09-01,WH-002,PRD-0015,12,0,0,12,7
2025-09-01,WH-002,PRD-0016,18,0,0,18,8
2025-09-01,WH-002,PRD-0017,14,0,0,14,8
2025-09-01,WH-002,PRD-0018,14,0,0,14,9
2025-09-01,WH-002,PRD-0019,14,0,0,14,7
2025-09-01,WH-002,PRD-0020,12,0,0,12,7
2025-09-01,WH-002,PRD-0021,30,0,0,30,13
2025-09-01,WH-002,PRD-0022,27,0,3,24,13
2025-09-01,WH-002,PRD-0023,19,0,0,19,11
2025-09-01,WH-002,PRD-0024,23,0,0,23,11
2025-09-01,WH-002,PRD-0025,19,0,0,19,11
2025-09-01,WH-002,PRD-0026,20,0,0,20,11
2025-09-01,WH-002,PRD-0027,15,0,0,15,8
2025-09-01,WH-002,PRD-0028,11,0,0,11,7
2025-09-01,WH-002,PRD-0029,17,0,0,17,9
2025-09-01,WH-002,PRD-0030,12,0,0,12,8
2025-09-01,WH-002,PRD-0031,15,0,0,15,8
2025-09-01,WH-002,PRD-0032,12,0,0,12,7
2025-09-01,WH-002,PRD-0033,16,0,0,16,8
2025-09-01,WH-002,PRD-0034,18,0,0,18,8
2025-09-01,WH-002,PRD-0035,21,0,0,21,10
2025-09-01,WH-002,PRD-0036,13,0,0,13,7
2025-09-01,WH-002,PRD-0037,15,0,0,15,8
2025-09-01,WH-002,PRD-0038,13,0,0,13,8
2025-09-01,WH-002,PRD-0039,15,0,0,15,9
2025-09-01,WH-002,PRD-0040,18,0,0,18,9
2025-09-01,WH-002,PRD-0041,26,0,0,26,13
2025-09-01,WH-002,PRD-0042,31,0,1,30,15
2025-09-01,WH-002,PRD-0043,16,0,0,16,9
2025-09-01,WH-002,PRD-0044,18,0,1,17,10
2025-09-01,WH-002,PRD-0045,26,0,0,26,12
2025-09-01,WH-002,PRD-0046,23,0,0,23,10
2025-09-01,WH-002,PRD-0047,14,0,0,14,7
2025-09-01,WH-002,PRD-0048,20,0,8,12,9
2025-09-01,WH-002,PRD-0049,14,0,0,14,8
2025-09-01,WH-002,PRD-0050,13,0,0,13,8
2025-09-01,WH-002,PRD-0051,18,0,0,18,8
2025-09-01,WH-002,PRD-0052,10,0,0,10,7
2025-09-01,WH-002,PRD-0053,16,0,1,15,8
2025-09-01,WH-002,PRD-0054,18,0,0,18,8
2025-09-01,WH-002,PRD-0055,14,0,0,14,7
2025-09-01,WH-002,PRD-0056,13,0,0,13,8
2025-09-01,WH-002,PRD-0057,10,0,0,10,7
2025-09-01,WH-002,PRD-0058,18,0,0,18,8
2025-09-01,WH-002,PRD-0059,16,0,0,16,9
2025-09-01,WH-002,PRD-0060,18,0,0,18,10
2025-09-01,WH-002,PRD-0061,26,0,5,21,12
2025-09-01,WH-002,PRD-0062,32,0,0,32,15
2025-09-01,WH-002,PRD-0063,20,0,0,20,11
2025-09-01,WH-002,PRD-0064,23,0,0,23,12
2025-09-01,WH-002,PRD-0065,20,0,0,20,9
2025-09-01,WH-002,PRD-0066,19,0,0,19,11
2025-09-01,WH-002,PRD-0067,14,0,0,14,8
2025-09-01,WH-002,PRD-0068,20,0,0,20,10
2025-09-01,WH-002,PRD-0069,15,0,0,15,7
2025-09-01,WH-002,PRD-0070,14,0,0,14,7
2025-09-01,WH-002,PRD-0071,21,0,0,21,9
2025-09-01,WH-002,PRD-0072,18,0,1,17,9
2025-09-01,WH-002,PRD-0073,11,0,0,11,7
2025-09-01,WH-002,PRD-0074,12,0,0,12,7
2025-09-01,WH-002,PRD-0075,16,0,0,16,8
2025-09-01,WH-002,PRD-0076,14,0,0,14,9
2025-09-01,WH-002,PRD-0077,16,0,0,16,8
2025-09-01,WH-002,PRD-0078,14,0,0,14,9
2025-09-01,WH-002,PRD-0079,15,0,0,15,8
2025-09-01,WH-002,PRD-0080,17,0,0,17,8
2025-09-01,WH-002,PRD-0081,17,0,0,17,12
2025-09-01,WH-002,PRD-0082,32,0,0,32,15
2025-09-01,WH-002,PRD-0083,14,0,0,14,9
2025-09-01,WH-002,PRD-0084,17,0,0,17,9
2025-09-01,WH-002,PRD-0085,22,0,0,22,10
2025-09-01,WH-002,PRD-0086,15,0,0,15,10
2025-09-01,WH-002,PRD-0087,16,0,0,16,9
2025-09-01,WH-002,PRD-0088,16,0,0,16,9
2025-09-01,WH-002,PRD-0089,15,0,0,15,9
2025-09-01,WH-002,PRD-0090,14,0,0,14,7
2025-09-01,WH-002,PRD-0091,16,0,0,16,7
2025-09-01,WH-002,PRD-0092,14,0,1,13,8
2025-09-01,WH-002,PRD-0093,13,0,0,13,8
2025-09-01,WH-002,PRD-0094,12,0,0,12,6
2025-09-01,WH-002,PRD-0095,16,0,0,16,9
2025-09-01,WH-002,PRD-0096,11,0,0,11,7
