order_id,customer_id,product_id,warehouse_id,order_date,promised_delivery_date,order_status,order_quantity,unit_price_eur,discount_pct,order_value_eur,sales_channel
ORD-000001,CUST-00753,PRD-0117,WH-006,2025-09-01,2025-09-04,Delivered,2,18.87,0.0143,37.20,Online Store
ORD-000002,CUST-00601,PRD-0029,WH-005,2026-08-31,2026-09-04,On Hold,1,34.84,0.0390,33.48,Online Store
ORD-000003,CUST-02292,PRD-0112,WH-005,2026-08-06,2026-08-09,Delivered,1,35.02,0.0246,34.16,Marketplace
ORD-000004,CUST-01255,PRD-0102,WH-004,2025-10-05,2025-10-09,Delivered,1,16.81,0.0512,15.95,Online Store
ORD-000005,CUST-03577,PRD-0033,WH-001,2026-07-15,2026-07-19,Delivered,2,34.77,0.0263,67.71,Online Store
ORD-000006,CUST-01975,PRD-0051,WH-003,2025-11-18,2025-11-21,Delivered,2,23.03,0.0636,43.13,Marketplace
ORD-000007,CUST-01657,PRD-0045,WH-004,2026-01-23,2026-01-26,Delivered,1,17.66,0.0381,16.99,Marketplace
ORD-000008,CUST-03744,PRD-0093,WH-001,2026-06-15,2026-06-18,Delivered,4,12.32,0.1210,43.32,Sales Desk
ORD-000009,CUST-03671,PRD-0087,WH-001,2026-03-14,2026-03-17,Delivered,2,18.64,0.0449,35.61,Online Store
ORD-000010,CUST-01088,PRD-0029,WH-002,2026-02-20,2026-02-24,Delivered,1,34.84,0.0117,34.43,EDI
ORD-000011,CUST-01605,PRD-0115,WH-005,2025-11-16,2025-11-20,Delivered,3,18.50,0.0405,53.25,Online Store
ORD-000012,CUST-02498,PRD-0096,WH-005,2025-12-13,2025-12-18,Delivered,3,19.73,0.0572,55.80,Marketplace
ORD-000013,CUST-03351,PRD-0084,WH-001,2025-12-11,2025-12-14,Delivered,2,12.99,0.0238,25.36,EDI
ORD-000014,CUST-00723,PRD-0102,WH-004,2026-08-29,2026-09-01,In Transit,1,16.81,0.0283,16.33,Marketplace
ORD-000015,CUST-03200,PRD-0015,WH-002,2025-10-10,2025-10-16,Delivered,4,65.82,0.0914,239.22,EDI
ORD-000016,CUST-01284,PRD-0002,WH-004,2025-09-15,2025-09-19,Delivered,1,112.30,0.0282,109.13,Marketplace
