product_id,product_name,product_category,unit_cost_eur,unit_price_eur,weight_kg,supplier_lead_time_days
PRD-0001,Wireless Mouse 01,Electronics,82.86,121.54,0.89,13
PRD-0002,USB-C Hub 02,Electronics,66.73,112.30,0.69,5
PRD-0003,Bluetooth Speaker 03,Electronics,85.18,146.25,0.46,8
PRD-0004,Webcam 04,Electronics,85.69,164.08,0.74,12
PRD-0005,Mechanical Keyboard 05,Electronics,45.95,89.11,0.85,14
PRD-0006,Wireless Mouse 06,Electronics,38.48,85.22,0.80,9
PRD-0007,USB-C Hub 07,Electronics,71.37,148.39,1.09,3
PRD-0008,Bluetooth Speaker 08,Electronics,70.79,151.85,0.76,8
PRD-0009,Webcam 09,electronics,73.00,152.18,0.58,4
PRD-0010,Mechanical Keyboard 10,Electronics,51.31,109.34,0.78,4
PRD-0011,Wireless Mouse 11,Electronics,35.29,62.90,1.34,9
PRD-0012,USB-C Hub 12,Electronics,49.54,105.16,1.00,9
PRD-0013,Bluetooth Speaker 13,Electronics,47.86,94.06,1.03,10
PRD-0014,Webcam 14,Electronics,51.20,102.60,1.31,12
PRD-0015,Mechanical Keyboard 15,Electronics,38.98,65.82,1.06,14
PRD-0016,Wireless Mouse 16,Electronics,75.14,140.26,0.70,13
PRD-0017,USB-C Hub 17,Electronics,74.00,164.44,0.98,7
PRD-0018,Bluetooth Speaker 18,Electronics,57.37,121.00,0.85,11
PRD-0019,Webcam 19,Electronics,82.15,138.93,1.23,11
PRD-0020,Mechanical Keyboard 20,Electronics,94.30,154.58,0.45,8
PRD-0021,Storage Set 01,Home and Kitchen,24.63,45.05,0.88,4
PRD-0022,Coffee Press 02,Home & Kitchen,24.29,43.91,2.01,9
PRD-0023,Desk Lamp 03,Home & Kitchen,35.40,56.17,1.57,10
PRD-0024,Kitchen Scale 04,Home & Kitchen,23.98,49.16,1.97,5
PRD-0025,Water Bottle 05,Home & Kitchen,26.02,56.55,2.20,4
PRD-0026,Storage Set 06,Home & Kitchen,15.57,33.53,1.17,10
PRD-0027,Coffee Press 07,Home & Kitchen,19.13,30.85,1.30,13
PRD-0028,Desk Lamp 08,Home and Kitchen,35.29,72.89,1.11,14
PRD-0029,Kitchen Scale 09,Home & Kitchen,15.77,34.84,1.08,13
PRD-0030,Water Bottle 10,Home & Kitchen,37.87,68.10,2.59,12
PRD-0031,Storage Set 11,Home & Kitchen,32.59,71.57,0.71,8
PRD-0032,Coffee Press 12,Home & Kitchen,35.70,65.17,1.99,7
PRD-0033,Desk Lamp 13,Home & Kitchen,18.42,34.77,0.74,7
PRD-0034,Kitchen Scale 14,Home & Kitchen,37.50,79.96,1.70,8
PRD-0035,Water Bottle 15,Home & Kitchen,29.00,53.36,1.61,3
PRD-0036,Storage Set 16,Home & Kitchen,36.12,56.69,1.10,14
PRD-0037,Coffee Press 17,Home & Kitchen,27.81,48.33,2.60,14
PRD-0038,Desk Lamp 18,Home & Kitchen,19.12,41.29,2.30,11
PRD-0039,Kitchen Scale 19,Home & Kitchen,13.01,21.95,1.40,10
PRD-0040,Water Bottle 20,Home & Kitchen,19.75,38.23,1.34,4
PRD-0041,Electric Toothbrush 01,Personal Care,16.53,35.10,0.49,14
PRD-0042,Grooming Kit 02,Personal Care,17.68,37.14,0.55,6
PRD-0043,Skin Care Set 03,Personal Care,11.40,23.93,0.55,5
PRD-0044,Hair Dryer 04,Personal Care,6.69,9.77,0.25,6
PRD-0045,Massage Roller 05,Personal Care,8.59,17.66,0.50,9
PRD-0046,Electric Toothbrush 06,Personal Care,18.37,27.94,0.48,10
PRD-0047,Grooming Kit 07,Personal Care,9.82,21.89,0.47,11
PRD-0048,Skin Care Set 08,Personal Care,15.76,30.88,0.26,4
PRD-0049,Hair Dryer 09,Personal Care,6.53,12.08,0.37,14
PRD-0050,Massage Roller 10,Personal care ,8.54,14.55,0.26,5
PRD-0051,Electric Toothbrush 11,Personal care ,12.99,23.03,0.53,4
PRD-0052,Grooming Kit 12,Personal Care,15.04,25.55,0.48,10
PRD-0053,Skin Care Set 13,Personal Care,6.60,9.64,0.60,9
PRD-0054,Hair Dryer 14,Personal Care,12.09,22.46,0.53,8
PRD-0055,Massage Roller 15,Personal Care,16.44,30.15,0.40,11
PRD-0056,Electric Toothbrush 16,Personal Care,15.53,23.87,0.55,4
PRD-0057,Grooming Kit 17,Personal Care,18.30,35.09,0.45,10
PRD-0058,Skin Care Set 18,Personal Care,7.87,11.53,0.48,10
PRD-0059,Hair Dryer 19,Personal care ,5.93,11.31,0.34,3
PRD-0060,Massage Roller 20,Personal care ,6.01,10.74,0.50,3
PRD-0061,Yoga Mat 01,Sports & Outdoors,31.86,55.56,1.49,11
PRD-0062,Resistance Bands 02,Sports & Outdoors,48.42,87.71,1.61,8
PRD-0063,Hiking Bottle 03,Sports & Outdoors,20.81,33.68,1.73,11
PRD-0064,Training Bag 04,Sports & Outdoors,42.78,77.37,0.86,13
PRD-0065,Fitness Tracker Band 05,Sports & Outdoors,32.14,71.66,0.85,13
PRD-0066,Yoga Mat 06,Sports & Outdoors,24.72,49.55,1.84,14
